p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.22071086265e-07	6.55853848393e-06	Malaria - Homo sapiens (human)	KEGG	path:hsa05144	ENSG00000108691; ENSG00000188536; ENSG00000169429; ENSG00000101017; ENSG00000110651; ENSG00000125538; ENSG00000007908; ENSG00000108342; ENSG00000232810; ENSG00000135218; ENSG00000136244	6401; 1440; 948; 958; 6347; 975; 7124; 3040; 3553; 3569; 3576	49	49
3.81148893399e-07	7.11477934345e-06	Hematopoietic cell lineage - Homo sapiens (human)	KEGG	path:hsa04640	ENSG00000168685; ENSG00000026508; ENSG00000136244; ENSG00000135218; ENSG00000231389; ENSG00000164400; ENSG00000108342; ENSG00000182578; ENSG00000125538; ENSG00000179344; ENSG00000213949; ENSG00000204287; ENSG00000232810; ENSG00000174059; ENSG00000115594	3113; 3119; 3122; 3672; 1437; 1440; 1436; 947; 948; 960; 7124; 3553; 3554; 3569; 3575	97	96
6.70314792598e-07	1.15500395032e-05	Parkinson disease - Homo sapiens (human)	KEGG	path:hsa05012	ENSG00000126267; ENSG00000176340; ENSG00000010256; ENSG00000124172; ENSG00000173660; ENSG00000174886; ENSG00000147684; ENSG00000127540; ENSG00000186010; ENSG00000151729; ENSG00000164405; ENSG00000198938; ENSG00000154518; ENSG00000131143; ENSG00000167792; ENSG00000005022; ENSG00000109390; ENSG00000127184	514; 518; 4715; 4717; 4723; 7384; 7388; 10975; 291; 292; 1327; 1340; 1350; 1351; 126328; 51079; 4514; 27089	142	142
2.503952464e-06	4.0063239424e-05	Influenza A - Homo sapiens (human)	KEGG	path:hsa05164	ENSG00000108691; ENSG00000121858; ENSG00000157601; ENSG00000134321; ENSG00000169429; ENSG00000055332; ENSG00000231389; ENSG00000160710; ENSG00000111331; ENSG00000137033; ENSG00000111335; ENSG00000179344; ENSG00000089127; ENSG00000125538; ENSG00000204287; ENSG00000271503; ENSG00000136244; ENSG00000164342; ENSG00000232810	3113; 3119; 3122; 8743; 103; 6347; 6352; 90865; 4938; 4940; 91543; 3569; 7098; 4939; 7124; 3553; 5610; 4599; 3576	171	171
2.84968854583e-06	4.25553489511e-05	Cytokine-cytokine receptor interaction - Homo sapiens (human)	KEGG	path:hsa04060	ENSG00000164400; ENSG00000108342; ENSG00000182578; ENSG00000163737; ENSG00000163739; ENSG00000232810; ENSG00000108691; ENSG00000168329; ENSG00000169429; ENSG00000101017; ENSG00000137033; ENSG00000125538; ENSG00000136244; ENSG00000081041; ENSG00000108700; ENSG00000121858; ENSG00000134352; ENSG00000102524; ENSG00000128342; ENSG00000115594; ENSG00000168685; ENSG00000108688; ENSG00000006327; ENSG00000124875; ENSG00000162892; ENSG00000271503	8743; 5196; 6347; 6352; 6354; 6355; 6372; 90865; 11009; 3554; 2919; 2920; 51330; 3976; 1436; 1437; 1440; 3569; 10673; 3572; 958; 7124; 3553; 1524; 3575; 3576	294	293
8.15446736909e-06	0.000114162543167	IL-17 signaling pathway - Homo sapiens (human)	KEGG	path:hsa04657	ENSG00000081041; ENSG00000108691; ENSG00000118503; ENSG00000164400; ENSG00000169429; ENSG00000108688; ENSG00000108342; ENSG00000124875; ENSG00000149968; ENSG00000125538; ENSG00000163739; ENSG00000232810; ENSG00000136244	6347; 6354; 4314; 6372; 3553; 2919; 2920; 1437; 1440; 7124; 7128; 3569; 3576	93	93
1.57551000315e-05	0.00020759661218	Thermogenesis - Homo sapiens (human)	KEGG	path:hsa04714	ENSG00000129467; ENSG00000126267; ENSG00000176340; ENSG00000167792; ENSG00000124172; ENSG00000127184; ENSG00000173660; ENSG00000174886; ENSG00000147684; ENSG00000127540; ENSG00000186010; ENSG00000164405; ENSG00000198938; ENSG00000109390; ENSG00000154518; ENSG00000131143; ENSG00000010256; ENSG00000178057; ENSG00000169020; ENSG00000132356; ENSG00000137154	514; 518; 6194; 5562; 4723; 4715; 4717; 7384; 27089; 196883; 521; 7388; 1327; 25915; 1340; 1350; 1351; 126328; 10975; 51079; 4514	229	229
5.76161277493e-05	0.00071700070088	Legionellosis - Homo sapiens (human)	KEGG	path:hsa05134	ENSG00000081041; ENSG00000156508; ENSG00000169429; ENSG00000176171; ENSG00000125730; ENSG00000125538; ENSG00000163739; ENSG00000232810; ENSG00000136244	664; 7124; 3553; 718; 2920; 2919; 3569; 3576; 1915	55	55
8.47036783912e-05	0.000992513891953	HIF-1 signaling pathway - Homo sapiens (human)	KEGG	path:hsa04066	ENSG00000007171; ENSG00000137154; ENSG00000175206; ENSG00000111640; ENSG00000124762; ENSG00000103363; ENSG00000108515; ENSG00000074800; ENSG00000102144; ENSG00000100644; ENSG00000136244; ENSG00000117394	1026; 3091; 2597; 6194; 4878; 5230; 4843; 6923; 6513; 3569; 2023; 2027	100	100
8.86173117815e-05	0.000992513891953	Viral myocarditis - Homo sapiens (human)	KEGG	path:hsa05416	ENSG00000102683; ENSG00000197616; ENSG00000101017; ENSG00000231389; ENSG00000179344; ENSG00000204287; ENSG00000170624; ENSG00000196569; ENSG00000092054	4624; 4625; 3113; 6444; 6445; 3119; 3122; 3908; 958	59	58
9.58659442568e-05	0.00102257007207	NOD-like receptor signaling pathway - Homo sapiens (human)	KEGG	path:hsa04621	ENSG00000162654; ENSG00000108691; ENSG00000118503; ENSG00000232810; ENSG00000169429; ENSG00000163565; ENSG00000136244; ENSG00000265972; ENSG00000111331; ENSG00000111335; ENSG00000089127; ENSG00000125538; ENSG00000163739; ENSG00000182621; ENSG00000081041; ENSG00000271503	115361; 23236; 6347; 6352; 3553; 4940; 3428; 2919; 2920; 10628; 4938; 4939; 7124; 7128; 3569; 3576	168	167
0.000212482437735	0.00213771899151	TNF signaling pathway - Homo sapiens (human)	KEGG	path:hsa04668	ENSG00000081041; ENSG00000108691; ENSG00000118503; ENSG00000232810; ENSG00000136244; ENSG00000164400; ENSG00000149968; ENSG00000007908; ENSG00000125538; ENSG00000163739; ENSG00000271503; ENSG00000128342	2919; 6347; 6352; 4314; 6401; 2920; 3976; 1437; 7124; 7128; 3553; 3569	110	110
0.000222320058156	0.00213771899151	Adrenergic signaling in cardiomyocytes - Homo sapiens (human)	KEGG	path:hsa04261	ENSG00000198336; ENSG00000120907; ENSG00000160808; ENSG00000140416; ENSG00000197616; ENSG00000129467; ENSG00000111245; ENSG00000198467; ENSG00000160014; ENSG00000092054; ENSG00000114854; ENSG00000143549; ENSG00000182621; ENSG00000118194	7168; 7169; 7170; 4624; 4625; 4633; 4634; 4635; 148; 23236; 196883; 808; 7134; 7139	144	144
0.000229041320519	0.00213771899151	Amoebiasis - Homo sapiens (human)	KEGG	path:hsa05146	ENSG00000007171; ENSG00000164400; ENSG00000169429; ENSG00000136244; ENSG00000197565; ENSG00000115594; ENSG00000125538; ENSG00000163739; ENSG00000182621; ENSG00000196569; ENSG00000232810	23236; 4843; 1288; 2919; 3908; 1437; 7124; 3553; 3554; 3569; 3576	96	95
0.000363741716834	0.00325912578283	Phagosome - Homo sapiens (human)	KEGG	path:hsa04145	ENSG00000173391; ENSG00000159403; ENSG00000125730; ENSG00000117410; ENSG00000188229; ENSG00000231389; ENSG00000106803; ENSG00000176014; ENSG00000179344; ENSG00000136888; ENSG00000204287; ENSG00000135218; ENSG00000058262; ENSG00000163131	533; 3113; 3119; 3122; 84617; 10383; 10952; 715; 718; 29927; 9550; 4973; 948; 1520	152	151
0.000666973931553	0.00574623694877	African trypanosomiasis - Homo sapiens (human)	KEGG	path:hsa05143	ENSG00000188536; ENSG00000232810; ENSG00000007908; ENSG00000125538; ENSG00000182621; ENSG00000136244	6401; 23236; 7124; 3040; 3553; 3569	35	34
0.000712488935886	0.0059108578379	Pertussis - Homo sapiens (human)	KEGG	path:hsa05133	ENSG00000007171; ENSG00000159403; ENSG00000169429; ENSG00000124875; ENSG00000125730; ENSG00000125538; ENSG00000160014; ENSG00000136244; ENSG00000232810	3576; 808; 3569; 715; 718; 6372; 3553; 4843; 7124	76	76
0.000738857229738	0.0059108578379	Necroptosis - Homo sapiens (human)	KEGG	path:hsa04217	ENSG00000055332; ENSG00000118503; ENSG00000121858; ENSG00000151729; ENSG00000164342; ENSG00000113648; ENSG00000196262; ENSG00000137033; ENSG00000203812; ENSG00000184260; ENSG00000125538; ENSG00000232810; ENSG00000100994; ENSG00000005022	8743; 8337; 8338; 5834; 90865; 291; 292; 3553; 9555; 5478; 7098; 7124; 7128; 5610	162	162
0.000938522578463	0.00706206375058	Herpes simplex infection - Homo sapiens (human)	KEGG	path:hsa05168	ENSG00000108691; ENSG00000179344; ENSG00000232810; ENSG00000231389; ENSG00000136244; ENSG00000104529; ENSG00000111331; ENSG00000055332; ENSG00000111335; ENSG00000125730; ENSG00000089127; ENSG00000125538; ENSG00000204287; ENSG00000271503; ENSG00000164342	3113; 3119; 3122; 6347; 718; 6352; 4938; 4939; 4940; 1936; 7098; 7124; 3553; 5610; 3569	185	185
0.000945812109452	0.00706206375058	Complement and coagulation cascades - Homo sapiens (human)	KEGG	path:hsa04610	ENSG00000243649; ENSG00000159403; ENSG00000124491; ENSG00000110799; ENSG00000003436; ENSG00000168398; ENSG00000125730; ENSG00000197632; ENSG00000155659	629; 7450; 624; 11326; 5055; 715; 718; 2162; 7035	79	79
0.00097882010858	0.00707276465554	Systemic lupus erythematosus - Homo sapiens (human)	KEGG	path:hsa05322	ENSG00000159403; ENSG00000125730; ENSG00000231389; ENSG00000113648; ENSG00000203812; ENSG00000184260; ENSG00000179344; ENSG00000277775; ENSG00000204287; ENSG00000232810; ENSG00000101017; ENSG00000163041	3113; 3119; 3122; 8337; 8338; 715; 718; 8968; 9555; 958; 3020; 7124	133	130
0.00154422055988	0.0103564640309	Apelin signaling pathway - Homo sapiens (human)	KEGG	path:hsa04371	ENSG00000198336; ENSG00000129467; ENSG00000007171; ENSG00000160808; ENSG00000160014; ENSG00000137154; ENSG00000111245; ENSG00000065534; ENSG00000132356; ENSG00000182621; ENSG00000081189; ENSG00000118785	4633; 4634; 4638; 6696; 6194; 4208; 4635; 23236; 4843; 196883; 808; 5562	137	137
0.00159811002715	0.0103564640309	Salmonella infection - Homo sapiens (human)	KEGG	path:hsa05132	ENSG00000081041; ENSG00000196924; ENSG00000007171; ENSG00000169429; ENSG00000164400; ENSG00000125538; ENSG00000163739; ENSG00000241553; ENSG00000136244	4843; 2316; 2919; 2920; 10093; 1437; 3553; 3569; 3576	86	85
0.00161633038997	0.0103564640309	Chagas disease (American trypanosomiasis) - Homo sapiens (human)	KEGG	path:hsa05142	ENSG00000108691; ENSG00000007171; ENSG00000232810; ENSG00000169429; ENSG00000136244; ENSG00000168398; ENSG00000125730; ENSG00000125538; ENSG00000182621; ENSG00000271503	624; 23236; 6347; 718; 6352; 4843; 7124; 3553; 3569; 3576	102	102
0.00161819750483	0.0103564640309	Graft-versus-host disease - Homo sapiens (human)	KEGG	path:hsa05332	ENSG00000231389; ENSG00000179344; ENSG00000125538; ENSG00000204287; ENSG00000136244; ENSG00000232810	3113; 3119; 3122; 7124; 3553; 3569	41	40
0.00177991325224	0.0110750157917	Vascular smooth muscle contraction - Homo sapiens (human)	KEGG	path:hsa04270	ENSG00000120907; ENSG00000131477; ENSG00000160014; ENSG00000129467; ENSG00000132329; ENSG00000127472; ENSG00000064989; ENSG00000092841; ENSG00000065534; ENSG00000077157; ENSG00000182621	10266; 10267; 4637; 4638; 4660; 148; 23236; 5322; 196883; 10203; 808	121	121
0.002044816308	0.0123794284593	Epstein-Barr virus infection - Homo sapiens (human)	KEGG	path:hsa05169	ENSG00000111331; ENSG00000118503; ENSG00000026508; ENSG00000231389; ENSG00000136244; ENSG00000124762; ENSG00000055332; ENSG00000111335; ENSG00000159352; ENSG00000179344; ENSG00000089127; ENSG00000204287; ENSG00000232810; ENSG00000165916; ENSG00000101017	1026; 3113; 3119; 3122; 4938; 4939; 4940; 5702; 958; 960; 7124; 5710; 7128; 5610; 3569	201	200
0.00245988174289	0.014500355537	Asthma - Homo sapiens (human)	KEGG	path:hsa05310	ENSG00000204287; ENSG00000231389; ENSG00000232810; ENSG00000101017; ENSG00000179344	3113; 3119; 3122; 958; 7124	31	30
0.00332688228976	0.0191082469976	Measles - Homo sapiens (human)	KEGG	path:hsa05162	ENSG00000055332; ENSG00000118503; ENSG00000121858; ENSG00000160710; ENSG00000111331; ENSG00000147065; ENSG00000111335; ENSG00000157601; ENSG00000125538; ENSG00000089127; ENSG00000136244	8743; 103; 4478; 4938; 4939; 4940; 7128; 3553; 5610; 3569; 4599	132	131
0.00374841557971	0.0209911272464	Intestinal immune network for IgA production - Homo sapiens (human)	KEGG	path:hsa04672	ENSG00000231389; ENSG00000179344; ENSG00000102524; ENSG00000204287; ENSG00000136244; ENSG00000101017	3113; 3119; 10673; 3122; 958; 3569	49	47
0.00476705720723	0.0260444101078	ECM-receptor interaction - Homo sapiens (human)	KEGG	path:hsa04512	ENSG00000026508; ENSG00000110799; ENSG00000197565; ENSG00000196569; ENSG00000213949; ENSG00000041982; ENSG00000135218; ENSG00000118785	1288; 7450; 6696; 3371; 948; 960; 3908; 3672	82	82
0.00605165489979	0.0322754927989	Glycolysis / Gluconeogenesis - Homo sapiens (human)	KEGG	path:hsa00010	ENSG00000111640; ENSG00000067057; ENSG00000111716; ENSG00000108515; ENSG00000074800; ENSG00000102144; ENSG00000152556	2597; 2023; 5213; 5214; 3945; 2027; 5230	68	68
0.00626137246911	0.0326173821647	Allograft rejection - Homo sapiens (human)	KEGG	path:hsa05330	ENSG00000204287; ENSG00000231389; ENSG00000232810; ENSG00000179344; ENSG00000101017	3119; 3113; 3122; 7124; 958	38	37
0.00751653263026	0.0382659842995	Th17 cell differentiation - Homo sapiens (human)	KEGG	path:hsa04659	ENSG00000106546; ENSG00000231389; ENSG00000134352; ENSG00000179344; ENSG00000125538; ENSG00000204287; ENSG00000136244; ENSG00000100644; ENSG00000115594	3091; 3113; 3119; 3122; 196; 3553; 3554; 3569; 3572	107	107
0.00816610451792	0.0393023197249	Staphylococcus aureus infection - Homo sapiens (human)	KEGG	path:hsa05150	ENSG00000243649; ENSG00000159403; ENSG00000179344; ENSG00000231389; ENSG00000125730; ENSG00000204287	3113; 3119; 3122; 715; 718; 629	56	55
0.00816610451792	0.0393023197249	Pathogenic Escherichia coli infection - Homo sapiens (human)	KEGG	path:hsa05130	ENSG00000092820; ENSG00000111057; ENSG00000188229; ENSG00000176014; ENSG00000085733; ENSG00000241553	3875; 7430; 10093; 84617; 10383; 2017	55	55
0.00824646887085	0.0393023197249	Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)	KEGG	path:hsa05412	ENSG00000175084; ENSG00000044115; ENSG00000102683; ENSG00000213949; ENSG00000170624; ENSG00000152661; ENSG00000196569	2697; 1674; 3908; 6444; 6445; 1495; 3672	72	72
0.00887635248375	0.0412095425093	Leishmaniasis - Homo sapiens (human)	KEGG	path:hsa05140	ENSG00000007171; ENSG00000179344; ENSG00000231389; ENSG00000125730; ENSG00000125538; ENSG00000204287; ENSG00000232810	3113; 3119; 3122; 7124; 718; 3553; 4843	74	73
0.00901458742392	0.0412095425093	Regulation of actin cytoskeleton - Homo sapiens (human)	KEGG	path:hsa04810	ENSG00000065534; ENSG00000083457; ENSG00000168398; ENSG00000111245; ENSG00000183856; ENSG00000213949; ENSG00000118680; ENSG00000092820; ENSG00000106631; ENSG00000147065; ENSG00000148180; ENSG00000077157; ENSG00000241553; ENSG00000205542	4633; 4638; 7430; 4660; 2934; 3672; 3682; 624; 58498; 4478; 103910; 10093; 128239; 7114	213	213
0.00922143478597	0.0413120278411	Abacavir Pathway, Pharmacokinetics/Pharmacodynamics	PharmGKB	PA166104634	ENSG00000143774; ENSG00000102144; ENSG00000243678	2987; 5230; 4831	14	14
0.00954082693117	0.041904808482	PPAR signaling pathway - Homo sapiens (human)	KEGG	path:hsa03320	ENSG00000121769; ENSG00000173391; ENSG00000134240; ENSG00000165269; ENSG00000175445; ENSG00000095637; ENSG00000135218	3158; 948; 4023; 10580; 364; 4973; 2170	74	74
0.0100545229352	0.0433117911054	NF-kappa B signaling pathway - Homo sapiens (human)	KEGG	path:hsa04064	ENSG00000081041; ENSG00000118503; ENSG00000169429; ENSG00000101017; ENSG00000125538; ENSG00000102524; ENSG00000232810; ENSG00000115594	7124; 2920; 10673; 958; 7128; 3553; 3554; 3576	95	93
0.0113344687228	0.0479041696964	Human T-cell leukemia virus 1 infection - Homo sapiens (human)	KEGG	path:hsa05166	ENSG00000129467; ENSG00000101017; ENSG00000117394; ENSG00000151729; ENSG00000136244; ENSG00000231389; ENSG00000164400; ENSG00000004897; ENSG00000005022; ENSG00000124762; ENSG00000179344; ENSG00000204287; ENSG00000232810; ENSG00000115594	1026; 3113; 3119; 3122; 3554; 196883; 291; 292; 6513; 1437; 958; 7124; 996; 3569	219	219
0.0118230463402	0.0490437477816	Type I diabetes mellitus - Homo sapiens (human)	KEGG	path:hsa04940	ENSG00000125538; ENSG00000204287; ENSG00000231389; ENSG00000232810; ENSG00000179344	3113; 3119; 3122; 7124; 3553	43	43
0.0143325235865	0.0574697689814	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)	KEGG	path:hsa04933	ENSG00000108691; ENSG00000169429; ENSG00000136244; ENSG00000197565; ENSG00000007908; ENSG00000125538; ENSG00000182621; ENSG00000232810	6401; 23236; 6347; 1288; 3553; 7124; 3569; 3576	99	99
0.0143674422453	0.0574697689814	Cytosolic DNA-sensing pathway - Homo sapiens (human)	KEGG	path:hsa04623	ENSG00000160710; ENSG00000177700; ENSG00000137033; ENSG00000125538; ENSG00000271503; ENSG00000136244	90865; 5441; 6352; 3553; 103; 3569	63	62
0.0160417779682	0.0625536296951	Phenylalanine metabolism - Homo sapiens (human)	KEGG	path:hsa00360	ENSG00000189221; ENSG00000131471; ENSG00000069535	4128; 4129; 8639	17	17
0.0162356242242	0.0625536296951	cGMP-PKG signaling pathway - Homo sapiens (human)	KEGG	path:hsa04022	ENSG00000120907; ENSG00000065534; ENSG00000160014; ENSG00000172572; ENSG00000129467; ENSG00000151729; ENSG00000081189; ENSG00000168398; ENSG00000005022; ENSG00000092054; ENSG00000182621	4625; 5139; 4638; 4208; 148; 23236; 196883; 291; 292; 808; 624	163	163
0.0164761792501	0.0625536296951	Calcium signaling pathway - Homo sapiens (human)	KEGG	path:hsa04020	ENSG00000120907; ENSG00000007171; ENSG00000065534; ENSG00000160014; ENSG00000151729; ENSG00000152207; ENSG00000168398; ENSG00000129467; ENSG00000154678; ENSG00000182621; ENSG00000114854; ENSG00000005022	4638; 5137; 624; 148; 23236; 291; 4843; 57105; 196883; 292; 808; 7134	186	185
0.0171207533503	0.0639174791745	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	KEGG	path:hsa05167	ENSG00000081041; ENSG00000055332; ENSG00000160014; ENSG00000169429; ENSG00000164342; ENSG00000164400; ENSG00000134352; ENSG00000124762; ENSG00000125730; ENSG00000163739; ENSG00000136244; ENSG00000100644	1026; 2920; 3091; 718; 808; 2919; 1437; 3569; 7098; 5610; 3572; 3576	186	186
0.0178252609739	0.0644454089544	Inflammatory bowel disease (IBD) - Homo sapiens (human)	KEGG	path:hsa05321	ENSG00000231389; ENSG00000179344; ENSG00000125538; ENSG00000204287; ENSG00000136244; ENSG00000232810	3113; 3119; 3122; 7124; 3553; 3569	65	65
0.0178375685499	0.0644454089544	Toll-like receptor signaling pathway - Homo sapiens (human)	KEGG	path:hsa04620	ENSG00000101017; ENSG00000164342; ENSG00000136244; ENSG00000169429; ENSG00000125538; ENSG00000271503; ENSG00000232810; ENSG00000118785	6696; 6352; 3553; 7098; 958; 7124; 3569; 3576	104	103
0.0184666591962	0.0656592326975	Chemokine signaling pathway - Homo sapiens (human)	KEGG	path:hsa04062	ENSG00000081041; ENSG00000108691; ENSG00000108700; ENSG00000168329; ENSG00000129467; ENSG00000108688; ENSG00000169429; ENSG00000124875; ENSG00000163737; ENSG00000163739; ENSG00000182621; ENSG00000271503	5196; 23236; 6347; 6372; 6354; 196883; 6352; 2919; 2920; 6355; 1524; 3576	189	188
0.0194544384512	0.0680905345792	Oxidative Stress Regulatory Pathway (Erythrocyte)	PharmGKB	PA165980399	ENSG00000167815; ENSG00000233276	7001; 2876	7	7
