"DiseaseName","Regulator","Target","RegulationDiretion","ExpressionParttern","InfluencedFunction","RegulatoryMechanism","More Details"
"Cardiac hypertrophy","CASC15","TLR4","positively-E","upregulation","cardiac hypertrophy(+)","ceRNA(miR-432-5p)","More Details"
"Cervical cancer","MALAT1","miR-142-3p","negatively-F","upregulation","cell invasion(+);cell migration(+)","sponge","More Details"
"Cervical cancer","GAS5","miR-21","negatively-F","downregulation","chemosensitivity(+);apoptosis process(+)","sponge","More Details"
"Cervical cancer","NORAD","ZEB2","positively-E","upregulation","cell proliferation(+);cell invasion(+)","ceRNA(miR-590-3p)","More Details"
"Cervical cancer","NEAT1","miR-101","negatively-F","upregulation","cell growth(+);cell invasion(+);cancer progression(+)","sponge","More Details"
"Cervical cancer","SNHG12","miR-424-5p","negatively-F","upregulation","cell growth(+);cell invasion(+)","sponge","More Details"
"Cervical cancer","SNHG20","ADAM10","positively-E","upregulation","cell proliferation(+);cell invasion(+);MEK/ERK signaling pathway(+)","ceRNA(miR-140-5p)","More Details"
"Cervical cancer","OIP5-AS1","ELAVL1","negatively-E","downregulation","cell proliferation(-)","ceRNA(miR-424)","More Details"
"Cervical cancer","MALAT1","miR-145","negatively-F","downregulation","radiosensitivity(+)","sponge","More Details"
"Cervical cancer","MALAT1","GRB2","positively-E","upregulation","cell growth(+);cell invasion(+)","ceRNA(miR-124)","More Details"
"Cervical cancer","GAS5","FOXO1","negatively-E","downregulation","tumorigenesis(-)","ceRNA(miR-205;miR-196a)","More Details"
"Cervical cancer","MALAT1","miR-375","negatively-F","upregulation","epithelial to mesenchymal transition(-)","sponge","More Details"
"Cholangiocarcinoma","NEAT1","CDH1","negatively-E","upregulation","cell growth(+);cell metastasis(+)","epigenetic regulation","More Details"
"Cholangiocarcinoma","SNHG1","CDKN1A","negatively-E","upregulation","cell proliferation(+);cell migration(+)","epigenetic regulation","More Details"
"Cholangiocarcinoma","H19","IL6","positively-E","upregulation","cell migration(+);cell invasion(+)","ceRNA(let-7a;let-7b)","More Details"
"Cholangiocarcinoma","TUG1","SIRT3","positively-E","upregulation","glutamine metabolic process(+);prognosis(-)","ceRNA(miR-145)","More Details"
"Cholangiocarcinoma","SNHG1","EZH2","interact","upregulation","cell proliferation(+);cell migration(+)","interact with protein","More Details"
"Cholangiocarcinoma","NEAT1","EZH2","interact","upregulation","cell growth(+);cell metastasis(+)","interact with protein","More Details"
"Choriocarcinoma","MALAT1","FBXW8","positively-E","upregulation","cell growth(+);cell proliferation(+)","ceRNA(miR-218)","More Details"
"Chronic myeloid leukemia","MEG3","miR-21","negatively-E","downregulation","cell proliferation(-);apoptosis process(+)","epigenetic regulation;sponge","More Details"
"Chronic myeloid leukemia","MEG3","JAK2","negatively-E","downregulation","JAK/STAT signaling pathway(-);cell proliferation(-);apoptosis process(+)","mediate protein interactions","More Details"
"Chronic myeloid leukemia","MEG3","miR-147","negatively-F","downregulation","JAK/STAT signaling pathway(-);cell proliferation(-);apoptosis process(+)","sponge","More Details"
"Chronic myeloid leukemia","MEG3","miR-184","negatively-F","downregulation","cell proliferation(-);cell metastasis(-)","sponge","More Details"
"Chronic myeloid leukemia","MEG3","miR-21-5p","negatively-F","downregulation","chemoresistance(+);cell proliferation(-);apoptosis process(+)","sponge","More Details"
"Clear cell renal cell carcinoma","MALAT1","ACVR2B","positively-E","upregulation","cancer progression(+)","ceRNA(miR-194-5p)","More Details"
"Clear cell renal cell carcinoma","H19","E2F1","negatively-E","upregulation","cell migration(+);cell invasion(+)","ceRNA(miR-29a-3p)","More Details"
"Clear cell renal cell carcinoma","MALAT1","ZEB2","positively-E","upregulation","cell proliferation(+);cell metastasis(+)","ceRNA(miR-200c)","More Details"
"Colon cancer","MALAT1","HMGB1","positively-E","upregulation","cancer progression(+)","ceRNA(miR-129-5p)","More Details"
"Colon cancer","XIST","WNT1","positively-E","upregulation","cancer progression(+);WNT/beta-catenin signaling pathway(+)","ceRNA(miR-34a)","More Details"
"Colon cancer","CASC15","LGR5","positively-E","upregulation","WNT/beta-catenin signaling pathway(+);cell proliferation(+);cell migration(+)","ceRNA(miR-4310)","More Details"
"Colon cancer","H19","VDR","positively-E","NA","chemoresistance(+)","ceRNA(miR-675-5p)","More Details"
"Colon cancer","H19","HMGA1","positively-E","upregulation","cell migration(+);cell invasion(+)","ceRNA(miR-138)","More Details"
"Colon cancer","CYTOR","ERBB4","positively-E","upregulation","chemoresistance(+);AKT signaling pathway(-)","ceRNA(miR-193a-3p)","More Details"
"Colorectal adenocarcinoma","H19","miR-194-5p","negatively-F","upregulation","epithelial to mesenchymal transition(+)","sponge","More Details"
"Colorectal cancer","LIFR-AS1","TNFAIP3","positively-E","upregulation","photodynamic therapy resistance(+);cell proliferation(+);apoptosis process(-)","ceRNA(miR-29a)","More Details"
"Colorectal cancer","CYTOR","NRP1","positively-E","upregulation","epithelial to mesenchymal transition(+);cancer progression(+);cell growth(+)","ceRNA(miR-206)","More Details"
"Colorectal cancer","SNHG7","GALNT7","positively-E","upregulation","PI3K/AKT/mTOR signaling pathway(+);cancer progression(+);cell proliferation(+);cell metastasis(+)","ceRNA(miR-34a)","More Details"
"Colorectal cancer","MEG3","PDCD4","positively-E","downregulation","chemoresistance(-)","ceRNA(miR-141)","More Details"
"Colorectal cancer","GAS5","FOXO3","positively-E","downregulation","cell proliferation(-);apoptosis process(+)","ceRNA(miR-182-5p)","More Details"
"Colorectal cancer","SNHG1","CDKN2B","negatively-E","upregulation","cell growth(+)","histone modification","More Details"
"Colorectal cancer","SNHG1","KLF2","negatively-E","upregulation","cell growth(+)","histone modification","More Details"
"Colorectal cancer","SNHG1","CCND2","negatively-E","upregulation","cell growth(+)","ceRNA(miR-154-5p)","More Details"
"Colorectal cancer","NEAT1","DDX5","interact","upregulation","cancer progression(+);WNT/beta-catenin signaling pathway(+)","protein stability","More Details"
"Colorectal cancer","TUG1","CPEB2","positively-E","upregulation","chemoresistance(+)","ceRNA(miR-186)","More Details"
"Colorectal cancer","SNHG3","MYC","positively-E","upregulation","cancer progression(+)","ceRNA(miR-182-5p)","More Details"
"Colorectal cancer","XIST","ZEB1","positively-E","upregulation","cell metastasis(+)","ceRNA(miR-200b-3p)","More Details"
"Colorectal cancer","XIST","SGK1","positively-E","upregulation","chemoresistance(+)","ceRNA(miR-124)","More Details"
"Colorectal cancer","SNHG6","CDKN1A","negatively-E","upregulation","cell growth(+)","histone modification","More Details"
"Colorectal cancer","OIP5-AS1","DYRK1A","positively-E","downregulation","radioresistance(-)","ceRNA(miR-369-3p)","More Details"
"Colorectal cancer","H19","GRN","positively-E","downregulation","epithelial to mesenchymal transition(+);WNT signaling pathway(+)","ceRNA(miR-29b-3p)","More Details"
"Colorectal cancer","MALAT1","PTBP2","positively-F","upregulation","cell growth(+);cell metastasis(+)","interact with protein","More Details"
"Colorectal cancer","MALAT1","CDH1","negatively-E","upregulation","chemoresistance(+)","histone modification","More Details"
"Colorectal cancer","H19","CTNNB1","positively-E","upregulation","cell proliferation(+);cell growth;cell migration(+)","ceRNA(miR-200a-3p)","More Details"
"Colorectal cancer","XIST","MAPK1","positively-E","upregulation","cell proliferation(+)","ceRNA(miR-132-3p)","More Details"
"Colorectal cancer","H19","VIM","positively-E","upregulation","epithelial to mesenchymal transition(+)","ceRNA(miR-138;miR-200a)","More Details"
"Colorectal cancer","H19","ZEB1","positively-E","upregulation","epithelial to mesenchymal transition(+)","ceRNA(miR-138;miR-200a)","More Details"
"Colorectal cancer","H19","ZEB2","positively-E","upregulation","epithelial to mesenchymal transition(+)","ceRNA(miR-138;miR-200a)","More Details"
"Colorectal cancer","MALAT1","EZH2","interact","upregulation","chemoresistance(+)","interact with protein","More Details"
"Colorectal cancer","SNHG1","EZH2","interact","upregulation","cell growth(+)","interact with protein","More Details"
"Colorectal cancer","SNHG6","EZH2","interact","upregulation","cell growth(+)","interact with protein","More Details"
"Endometrial adenocarcinoma","MALAT1","miR-200c","negatively-F","downregulation","cell invasion(-);cell migration(-)","sponge","More Details"
"Endometrial cancer","NEAT1","LEF1","positively-E","downregulation","cell cycle(+);cell viability(+)","ceRNA(miR-146b-5p)","More Details"
"Endometrial cancer","GAS5","PTEN","positively-E","downregulation","apoptosis process(+)","ceRNA(miR-103a-3p)","More Details"
"Endometrial carcinoma","MEG3","PI3K","interact","downregulation","tumorigenesis(-);cancer progression(-);PI3K signaling pathway(-)","interact with protein","More Details"
"Endometrial carcinoma","NEAT1","HMGA1","positively-E","upregulation","cell growth(+);cell migration(+);cell invasion(+);WNT/beta-catenin signaling pathway(+)","ceRNA(miR-214-3p)","More Details"
"Endometriosis","MALAT1","miR-200c","negatively-F","upregulation","cell proliferation(+);cell migration(+)","sponge","More Details"
"Epithelial ovarian cancer","XIST","miR-214-3p","negatively-F","downregulation","chemosensitivity(+);cell proliferation(-);cell invasion(-)","sponge","More Details"
"Epithelial ovarian carcinoma","MEG3","ATG3","positively-F","downregulation","cell autophagy(-);tumorigenesis(-);cancer progression(-)","interact with mRNA","More Details"
"Esophageal cancer","GAS5","miR-301a","negatively-F","upregulation","cell proliferation(+);cell metastasis(+);apoptosis process(-)","sponge","More Details"
"Esophageal cancer","TPM1-AS","TPM1","negatively-E","downregulation","cell migration(-)","alternative splicing","More Details"
"Esophageal cancer","MALAT1","ZEB1","positively-E","upregulation","cell migration(+);cell invasion(+);epithelial to mesenchymal transition(+)","ceRNA(miR-200a)","More Details"
"Esophageal cancer","MALAT1","ZEB2","positively-E","upregulation","cell migration(+);cell invasion(+);epithelial to mesenchymal transition(+)","ceRNA(miR-200a)","More Details"
"Esophageal cancer","SNHG1","CST3","positively-E","upregulation","cell proliferation(+)","ceRNA(miR-338)","More Details"
"Esophagus squamous cell carcinoma","MEG3","CDH1","positively-E","downregulation","cancer progression(+);prognosis(-)","ceRNA(miR-9)","More Details"
"Esophagus squamous cell carcinoma","MEG3","FOXO1","positively-E","downregulation","cancer progression(+);prognosis(-)","ceRNA(miR-9)","More Details"
"Esophagus squamous cell carcinoma","NEAT1","CTBP2","positively-E","upregulation","cell viability(+);cell invasion(+)","ceRNA(miR-129)","More Details"
"Esophagus squamous cell carcinoma","LINC01426","RUNX1","interact","upregulation","cancer progression(+);prognosis","alternative splicing","More Details"
"Esophagus squamous cell carcinoma","LUCAT1","DNMT1","interact","upregulation","tumorigenesis(+)","protein stability","More Details"
"Esophagus squamous cell carcinoma","SNHG16","ZEB1","positively-E","upregulation","cell proliferation(+);cell migration(+);epithelial to mesenchymal transition(+)","ceRNA(miR-140-5p)","More Details"
"Esophagus squamous cell carcinoma","XIST","EZH2","positively-E","upregulation","cell growth(+)","ceRNA(miR-101)","More Details"
"Esophagus squamous cell carcinoma","CYTOR","EGFR","positively-E","upregulation","cell growth(+)","ceRNA","More Details"
"Esophagus squamous cell carcinoma","TTN-AS1","SNAI1","positively-E","upregulation","cell invasion(+);epithelial to mesenchymal transition(+)","ceRNA(miR-133b)","More Details"
"Esophagus squamous cell carcinoma","TTN-AS1","FSCN1","positively-E","upregulation","cell invasion(+);epithelial to mesenchymal transition(+)","ceRNA(miR-133b)","More Details"
"Estrogen-receptor positive breast cancer","H19","PMAIP1","negatively-E","upregulation","chemoresistance(+)","histone modification","More Details"
"Estrogen-receptor positive breast cancer","H19","EZH2","interact","upregulation","chemoresistance(+)","interact with protein","More Details"
"Fatty liver disease","H19","SREBF1","positively-E","upregulation","steatosis(+);hepatic lipid homeostasis(+)","protein stability","More Details"
"Fatty liver disease","H19","PTBP1","interact","upregulation","steatosis(+);hepatic lipid homeostasis(+)","interact with protein","More Details"
"Gallbladder cancer","MALAT1","MCL1","positively-E","upregulation","cancer progression(+)","ceRNA(miR-363-3p)","More Details"
"Gallbladder cancer","CYTOR","HIF1A","positively-E","upregulation","cell metastasis(+);epithelial to mesenchymal transition(+)","ceRNA(miR-138)","More Details"
"Gallbladder cancer","MALAT1","ANXA2","positively-E","upregulation","cancer progression(+)","ceRNA(miR-206)","More Details"
"Gallbladder cancer","MALAT1","KRAS","positively-E","upregulation","cancer progression(+)","ceRNA(miR-206)","More Details"
"Gallbladder cancer","H19","FOXM1","positively-E","upregulation","cancer progression(+)","ceRNA(miR-342-3p)","More Details"
"Gastric cancer","NORAD","FOXO6","positively-E","upregulation","cell growth(+)","ceRNA(miR-608)","More Details"
"Gastric cancer","SNHG6","CDKN1A","negatively-E","upregulation","cancer progression(+)","epigenetic regulation","More Details"
"Gastric cancer","XIST","TGFB1","positively-E","upregulation","cancer progression(+)","ceRNA(miR-185)","More Details"
"Gastric cancer","H19","ERBB2","positively-E","upregulation","prognosis(-)","ceRNA(let-7c)","More Details"
"Gastric cancer","SNHG12","miR-320","negatively-F","upregulation","cancer progression(+);cell proliferation(+);cell invasion(+)","sponge","More Details"
"Gastric cancer","NEAT1","STAT3","positively-E","downregulation","cancer progression(+)","ceRNA(miR-506)","More Details"
"Gastric cancer","GAS5","miR-222","negatively-F","downregulation","cell proliferation(-)","sponge","More Details"
"Gastric cancer","MALAT1","ATG12","positively-E","upregulation","chemosensitivity(+);cell autophagy(+)","ceRNA(miR-23b-3p)","More Details"
"Gastric cancer","CYTOR","PRKAA1","positively-E","upregulation","glucose metabolic process(+)","ceRNA(miR-139-5p)","More Details"
"Gastric cancer","H19","ISM1","positively-F","upregulation","tumorigenesis(+);cell metastasis(+)","interact with protein","More Details"
"Gastric cancer","H19","CALN1","negatively-F","upregulation","tumorigenesis(+);cell metastasis(+)","interact with protein","More Details"
"Gastric cancer","MEG3","E2F3","positively-E","downregulation","cell proliferation(+)","ceRNA(miR-141)","More Details"
"Gastric cancer","MEG3","BCL2","positively-E","downregulation","cancer progression(-);cell proliferation(-);cell migration(-);cell invasion(-)","ceRNA(miR-181)","More Details"
"Gastric cancer","XIST","EZH2","positively-E","upregulation","cancer progression(+)","ceRNA(miR-101)","More Details"
"Gastric cancer","XIST","MACC1","positively-E","upregulation","cell growth(+);cell invasion(+)","ceRNA(miR-497)","More Details"
"Gastric cancer","MALAT1","GLI2","positively-E","upregulation","cancer progression(+)","ceRNA(miR-202)","More Details"
"Gastric cancer","SNHG6","ZEB1","positively-E","upregulation","cell proliferation(+);epithelial to mesenchymal transition(+)","ceRNA(miR-101-3p)","More Details"
"Gastric cancer","SNHG6","CDKN1B","negatively-E","upregulation","cell proliferation(+);epithelial to mesenchymal transition(+)","histone modification","More Details"
"Gastric cancer","TUG1","miR-145-5p","negatively-F","upregulation","cell proliferation(+);cell invasion(+)","sponge","More Details"
"Gastric cancer","RMRP","CCND2","positively-E","downregulation","cell growth(+);biomarker","ceRNA(miR-206)","More Details"
"Gastric cancer","MALAT1","PCDH10","negatively-E","upregulation","cell metastasis(+)","histone modification","More Details"
"Gastric cancer","CYTOR","CDKN2B","negatively-E","upregulation","cell cycle(+)","histone modification","More Details"
"Gastric cancer","CYTOR","CDKN2A","negatively-E","upregulation","cell cycle(+)","histone modification","More Details"
"Gastric cancer","TUG1","CDKN1C","negatively-E","upregulation","cell proliferation(+)","histone modification","More Details"
"Gastric cancer","GAS5","YBX1","positively-F","downregulation","cell cycle(-)","interact with protein","More Details"
"Gastric cancer","MALAT1","EGFL7","positively-E","upregulation","cell invasion(+);cell metastasis(+)","histone modification","More Details"
"Gastric cancer","H19","ZEB1","positively-E","upregulation","cell proliferation(-);cell migration(-)","ceRNA(miR-141)","More Details"
"Gastric cancer","MALAT1","EZH2","interact","upregulation","cell metastasis(+)","interact with protein","More Details"
"Gastric cancer","TUG1","EZH2","interact","upregulation","cell proliferation(+)","interact with protein","More Details"
"Gastric cancer","TUG1","SUZ12","interact","upregulation","cell proliferation(+)","interact with protein","More Details"
"Gastric cancer","SNHG6","EZH2","interact","upregulation","cell proliferation(+);epithelial to mesenchymal transition(+)","interact with protein","More Details"
"Gastric cancer","CYTOR","EZH2","interact","upregulation","cell cycle(+)","interact with protein","More Details"
"Gastrointestinal stromal tumor","CCDC26","KIT","interact","downregulation","chemoresistance(+)","interact with protein","More Details"
"Glioblastoma","MALAT1","miR-101","negatively-F","upregulation","chemoresistance(+)","sponge","More Details"
"Glioblastoma","H19","NKD1","negatively-E","upregulation","tumorigenesis(+)","histone modification","More Details"
"Glioblastoma","SNHG7","miR-5059","negatively-F","upregulation","cancer progression(+);cell growth(+)","sponge","More Details"
"Glioblastoma","CYTOR","miR-107","negatively-F","downregulation","cancer progression(+);cell proliferation(+);cell invasion(+)","sponge","More Details"
"Glioblastoma","XIST","miR-152","negatively-F","upregulation","cell proliferation(+);cell migration(+);cell invasion(+);cell apoptosis(-)","sponge","More Details"
"Glioblastoma","MALAT1","TYMS","positively-E","downregulation","chemoresistance(+)","ceRNA(miR-203)","More Details"
"Glioblastoma","TUG1","VEGFA","positively-E","upregulation","angiogenesis(+)","ceRNA(miR-299)","More Details"
"Glioblastoma","H19","EZH2","interact","upregulation","tumorigenesis(+)","interact with protein","More Details"
"Gorham's disease","MALAT1","VEGFA","positively-E","upregulation","cell proliferation(+)","ceRNA(miR-22-5p)","More Details"
"Heart failure","FTX","BCL2L2","negatively-E","downregulation","apoptosis process(+)","ceRNA(miR-29b-1-5p)","More Details"
"Hemangioma","MEG3","miR-494","negatively-F","downregulation","PTEN/PI3K/AKT signaling pathway(-);tumorigenesis(-)","sponge","More Details"
"Hepatic ischemia-reperfusion injury","MEG3","NFE2L2","negatively-E","downregulation","hepatic function(+)","ceRNA(miR-34a)","More Details"
"Hepatoblastoma","LUCAT1","STAT3","positively-E","upregulation","cell proliferation(+);cell migration(+);cell invasion(+)","ceRNA(miR-301b)","More Details"
"Hepatoblastoma","OIP5-AS1","ZEB1","positively-E","upregulation","cell proliferation(+);cell metastasis(+);epithelial to mesenchymal transition(+)","ceRNA(miR-186a-5p)","More Details"
"Hepatoblastoma","TUG1","VEGFA","positively-E","upregulation","cell growth(-);angiogenesis(-)","ceRNA(miR-34a-5p)","More Details"
"Hepatocellular carcinoma","NEAT1","TGFB1","positively-E","upregulation","cancer progression(+)","ceRNA(miR-139-5p)","More Details"
"Hepatocellular carcinoma","NEAT1","STAT3","positively-E","upregulation","cancer progression(+)","ceRNA(miR-485)","More Details"
"Hepatocellular carcinoma","NORAD","miR-202-5p","negatively-F","upregulation","cancer progression(+);TGF-beta signaling pathway(+)","sponge","More Details"
"Hepatocellular carcinoma","H19","TWIST1","positively-E","upregulation","cancer progression(+)","ceRNA(miR-326)","More Details"
"Hepatocellular carcinoma","RAD51-AS1","RAD51","negatively-F","downregulation","chemosensitivity(+);radiosensitivity(+);DNA repair(-)","interact with mRNA","More Details"
"Hepatocellular carcinoma","XIST","miR-155-5p","negatively-F","downregulation","tumorigenesis(-)","sponge","More Details"
"Hepatocellular carcinoma","MALAT1","EGFR","positively-E","upregulation","cell motility(+);cell growth(+)","ceRNA(miR-195)","More Details"
"Hepatocellular carcinoma","MALAT1","ZEB1","positively-E","upregulation","cancer progression(+)","ceRNA(miR-143-3p)","More Details"
"Hepatocellular carcinoma","NORAD","PTEN","positively-E","downregulation","cell growth(-)","ceRNA(miR-106a-5p)","More Details"
"Hepatocellular carcinoma","MEG3","ADH4","positively-E","upregulation","cell proliferation(-)","ceRNA(miR-664)","More Details"
"Hepatocellular carcinoma","NEAT1","miR-613","negatively-F","upregulation","cell proliferation(+);cell invasion(+)","sponge","More Details"
"Hepatocellular carcinoma","NNT-AS1","CDK6","positively-E","upregulation","cancer progression(+);cell metastasis(+)","ceRNA(miR-363)","More Details"
"Hepatocellular carcinoma","MIR4435-2HG","YBX1","interact","upregulation","cancer progression(+);prognosis(-)","interact with protein","More Details"
"Hepatocellular carcinoma","MALAT1","VIM","positively-E","upregulation","cell migration(+);cell invasion(+)","ceRNA(miR-30a-5p)","More Details"
"Hepatocellular carcinoma","TUG1","ZEB1","positively-E","upregulation","cell metastasis(+);epithelial to mesenchymal transition(+)","ceRNA(miR-142-3p)","More Details"
"Hepatocellular carcinoma","XIST","MAPK1","positively-E","upregulation","tumorigenesis(+)","ceRNA(miR-194-5p)","More Details"
"Hepatocellular carcinoma","NEAT1","PNPLA2","positively-E","upregulation","cell proliferation(+)","ceRNA(miR-124-3p)","More Details"
"Hepatocellular carcinoma","H19","miR-200","positively-E","downregulation","cell metastasis(-);epithelial to mesenchymal transition(+)","histone modification","More Details"
"Hepatocellular carcinoma","MEG3","TP53","interact","downregulation","tumor-suppressive function(+);cell proliferation(-);apoptosis process(+);cell growth(-)","interact with protein","More Details"
"Hepatocellular carcinoma","TUG1","KLF2","negatively-E","upregulation","cell growth(+);apoptosis process(+);cell proliferation(+)","histone modification","More Details"
"Hepatocellular carcinoma","MALAT1","TRAF6","positively-E","upregulation","cell growth(+);cell metastasis(+)","ceRNA(miR-146b-5p)","More Details"
"Hepatocellular carcinoma","XIST","PTEN","positively-E","downregulation","cell proliferation(+);cell metastasis(+)","ceRNA(miR-181a)","More Details"
"Hepatocellular carcinoma","SNHG6-003","MAP3K7","positively-E","upregulation","chemoresistance(+);cell proliferation(+)","ceRNA(miR-26a;miR-26b)","More Details"
"Hepatocellular carcinoma","FTX","miR-374a","negatively-F","downregulation","cell proliferation(-);cell metastasis(-)","sponge","More Details"
"Hepatocellular carcinoma","FTX","MCM2","interact","downregulation","cell proliferation(-);cell metastasis(-)","interact with protein","More Details"
"Hepatocellular carcinoma","XIST","PDK1","positively-E","upregulation","cell growth(+)","ceRNA(miR-139-5p)","More Details"
"Hepatocellular carcinoma","SNHG12","MAP3K11","positively-E","upregulation","NF-kB signaling pathway(+);tumorigenesis(+);cell metastasis(+)","ceRNA(miR-199a-5p;miR-199b-5p)","More Details"
