From	To	Species	Gene Name
ENSG00000118058	AY187943	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	S78571	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	S78570	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	NM_001197104	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AF272379	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	XM_011542833	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	NM_005933	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AF272378	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	XM_011542830	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	L04284	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	XM_011542831	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AF272377	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	XM_006718839	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AF024540	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AF272371	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AF272370	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	DQ224341	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	BC090876	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AF272372	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	L01986	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AF487906	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AF232000	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AF232001	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	BC015388	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	BC039603	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	FM165198	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	JF938536	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	BC065385	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	S66432	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	D14540	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AK295635	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AB209508	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AK021845	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	XM_011542829	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	NM_024891	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AY187942	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	S82034	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AF272382	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AF272381	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AF272380	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000060237	BJ997509	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	BC071959	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	AF061944	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_011520999	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_011520997	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_011520998	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	JQ358908	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	BC130467	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	BC044600	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	BC130469	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	DQ925671	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	DQ925672	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	BC141881	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	DA720959	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	AB002342	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	AY231477	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	BC172444	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	DQ925669	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	BC013629	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_011521000	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_011521001	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_011521002	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_011521003	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_011521004	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_011521005	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_011521006	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_011521007	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_011521008	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_011521009	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	NM_213655	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_006719003	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	BC021121	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	N57692	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	BC035146	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	BC094862	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	CD629562	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	AJ296290	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	AI074334	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_017019839	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	BM716053	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	NM_018979	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_017019838	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_017019837	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	BX644268	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	NM_001184985	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_017019835	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_017019836	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	XM_017019834	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000060237	NM_014823	Homo sapiens	WNK lysine deficient protein kinase 1(WNK1)
ENSG00000245532	NR_002802	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000245532	GQ859162	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000245532	EF177379	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000245532	HG503866	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000245532	AF080092	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000245532	AI590745	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000245532	LK938844	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000245532	AF508303	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000245532	LK938845	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000245532	LK938846	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000245532	NR_028272	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000245532	AK027191	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000245532	U60873	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000245532	NR_131012	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000245532	HG503867	Homo sapiens	nuclear paraspeckle assembly transcript 1 (non-protein coding)(NEAT1)
ENSG00000086758	XM_017029200	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	AB002310	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	AK056671	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	BC107576	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029205	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029206	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	BC072421	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029203	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	AF161390	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029204	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029201	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_011530747	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	R60532	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029202	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029194	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029193	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	BC038184	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029196	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029195	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029198	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	AF057569	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029197	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_011530751	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029199	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	AK091352	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	BC063505	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	BC018750	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	DQ097177	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	CR456813	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	AL162050	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	AB071605	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029191	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_017029192	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	AY929612	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	NM_031407	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	AK294575	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	CK002817	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	BC002602	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	AY772009	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	BU619074	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	XM_005261965	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	AK223167	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000086758	BG334536	Homo sapiens	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase(HUWE1)
ENSG00000119812	BC020907	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000119812	CR936766	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000119812	NM_015475	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000119812	BC038581	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000119812	DA310995	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000119812	AK300023	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000119812	AK302233	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000119812	AL049943	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000119812	BC136768	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000119812	BC136770	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000119812	AK096187	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000119812	NM_001304538	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000119812	AK074867	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000119812	BC060860	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000119812	AK027432	Homo sapiens	family with sequence similarity 98 member A(FAM98A)
ENSG00000117523	XR_001737059	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	AK304841	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	BC001260	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	AK022492	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	BC006090	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	BC058930	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_005245019	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	CB158511	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	AK124374	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_005245016	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_005245015	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_005245018	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	AK095231	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	AL162004	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_005245017	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	BC045713	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	AK297263	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	AL096857	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	BC066968	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	AF253978	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	BC026108	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_017000760	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	AK000190	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XR_001737060	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_017000761	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	AL133635	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_017000762	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_005245020	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	NM_015172	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_005245023	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_005245024	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_005245025	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_005245026	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_005245027	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_005245028	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_005245029	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	AF488829	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	XM_006711238	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	AB029019	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000117523	AK298887	Homo sapiens	proline rich coiled-coil 2C(PRRC2C)
ENSG00000112562	AB014737	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	AB014730	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	AJ249902	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	AK056700	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	AF176778	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	AL832303	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	AJ420521	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	XM_011536066	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	XM_011536065	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	AK297839	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	AF173892	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
